anode outlet pressure 1,anode outlet pressure 2,cathode outlet pressure 1,cathode outlet pressure 2, current,anode reactant flow,anode inlet pressure 1,anode inlet pressure 2,cathode air inlet flow, cathode inlet pressure 1,cathode stoichiometry,cathode outlet temperature 2,cathode inlet temperature 2,cathode outlet temperature 1,cathode inlet temperature 1,primary water inlet pressure 2,primary water inlet pressure 1,primary water inlet flow 2,primary water inlet flow 1,water inlet temperature,flag
0,0,700,700,106,283,1792,1788,1684,1252,2.49,74,46,75,47,2040,2008,814,816,29,0
0,0,700,700,106,283,1792,1788,1680,1252,2.49,75,46,75,46,2036,2004,814,812,30,0
0,0,700,700,106,283,1792,1788,1676,1252,2.48,75,46,75,46,2044,2004,816,816,30,0
0,0,700,700,106,283,1792,1792,1688,1252,2.5,74,46,75,46,2048,2012,814,818,29,0
0,0,700,700,0,0,980,992,8,1008,0.0,39,48,39,47,992,1004,0,0,33,1
0,0,700,700,106,284,1792,1788,1680,1252,2.48,75,46,75,46,2040,2008,814,814,29,0
0,0,700,700,0,0,1784,1780,20,1008,0.0,29,52,33,53,1004,1016,0,0,33,1
0,0,700,700,106,283,1792,1788,1688,1252,2.5,74,46,75,46,2048,2012,816,816,29,0
0,0,700,700,106,283,1792,1788,1680,1252,2.49,74,46,75,46,2040,2004,814,816,30,0
0,0,700,700,106,283,1792,1788,1684,1252,2.49,74,46,75,46,2044,2008,816,814,29,0
0,0,700,700,106,283,1792,1788,1684,1252,2.49,75,46,75,46,2040,2004,814,812,30,0
0,0,700,700,106,283,1788,1788,1688,1252,2.5,75,46,75,47,2040,2004,814,816,29,0
0,0,700,700,106,283,1792,1788,1684,1252,2.49,75,46,75,46,2040,2008,814,812,30,0
0,0,700,700,0,0,992,1008,8,1008,0.0,38,46,39,46,992,1000,0,0,33,1
0,0,700,700,106,284,1792,1788,1688,1252,2.49,75,46,75,47,2044,2008,816,812,29,0
0,0,700,700,0,0,1004,1016,8,1008,0.0,37,44,38,45,996,1000,0,0,33,1
0,0,700,700,106,283,1792,1788,1680,1252,2.49,74,46,75,46,2040,2008,814,812,29,0
0,0,700,700,106,283,1792,1788,1688,1252,2.5,74,46,75,46,2044,2008,814,814,29,0
0,0,700,700,106,283,1788,1788,1680,1248,2.48,75,46,75,47,2040,2004,814,814,29,0
0,0,700,700,0,0,980,988,8,1008,0.0,39,48,39,47,996,1004,0,0,33,1
0,0,700,700,106,283,1792,1792,1684,1252,2.49,75,46,75,47,2040,2008,814,814,30,0
0,0,700,700,106,283,1792,1788,1680,1252,2.48,75,46,75,46,2040,2004,814,814,29,0
0,0,700,700,106,283,1792,1784,1688,1252,2.49,75,46,75,46,2040,2004,814,814,30,0
0,0,700,700,0,0,980,988,8,1008,0.0,39,48,39,47,996,1000,0,0,33,1
0,0,700,700,106,283,1792,1788,1680,1248,2.49,75,46,75,47,2040,2004,814,814,29,0
0,0,700,700,0,0,1000,1004,8,1008,0.0,36,49,37,47,996,1004,0,0,33,1
0,0,700,700,106,283,1792,1788,1684,1252,2.49,75,46,75,47,2036,2008,816,812,29,0
0,0,700,700,106,283,1788,1788,1688,1252,2.5,74,46,75,46,2040,2004,814,818,29,0
0,0,700,700,106,283,1792,1788,1672,1248,2.47,75,46,75,47,2040,2004,814,810,29,0
0,0,700,700,106,283,1792,1788,1680,1252,2.49,75,46,75,47,2040,2008,814,816,29,0
0,0,700,700,106,284,1792,1788,1680,1252,2.48,75,46,75,47,2040,2008,814,816,29,0
0,0,700,700,106,284,1792,1784,1688,1252,2.49,74,46,75,47,2044,2012,814,816,29,0
0,0,700,700,106,283,1792,1788,1684,1252,2.49,74,46,75,46,2040,2008,814,814,29,0
0,0,700,700,106,283,1792,1788,1688,1252,2.5,74,46,75,46,2040,2004,816,816,29,0
0,0,700,700,105,282,1776,1776,1692,1252,2.52,75,45,75,46,1936,1908,818,822,37,1
0,0,700,700,0,0,1004,1016,8,1008,0.0,37,44,38,45,992,1004,0,0,33,1
0,0,700,700,0,0,976,972,40,1008,0.0,26,52,29,49,1008,1012,0,0,33,1
0,0,700,700,106,283,1792,1788,1684,1252,2.49,75,46,75,46,2040,2004,814,814,30,0
0,0,700,700,0,0,1672,1788,40,1008,0.0,27,53,30,50,1004,1016,0,0,33,1
0,0,700,700,0,0,1788,1780,16,1008,0.0,34,44,39,45,1004,1012,0,0,33,1
0,0,700,700,106,283,1792,1788,1676,1252,2.48,75,46,75,47,2044,2012,816,816,29,0
0,0,700,700,106,283,1792,1788,1692,1252,2.5,74,46,75,46,2040,2008,814,818,29,0
0,0,700,700,106,284,1792,1788,1680,1252,2.48,74,46,75,46,2040,2008,814,814,29,0
0,0,700,700,0,0,980,988,8,1008,0.0,39,48,39,47,992,1000,0,0,33,1
